Composant,Numéro de référence,Description,Quantité
"817-BBCE : Configuration BTO personnalisée","W21JJ","INFO,GNRC,OEM,TRACKING,PN","1"
"817-BBBS : Pas d'étiquette de boîte d'expédition EAN","W21JJ","INFO,GNRC,OEM,TRACKING,PN","1"
"817-10155 : Non sélectionné dans cette configuration","W21JJ","INFO,GNRC,OEM,TRACKING,PN","1"
"800-BBGU : Expédition standard BTO (VS)","371Y7","INFO,INBOUND,AIRSHIP,VS","1"
"799-AANV : Commande Dell","W21JJ","INFO,GNRC,OEM,TRACKING,PN","1"
"658-BDKV : Additional Software","YR2T2","SRV,SW,CRRS,MUI","1"
"","PV327","SRV,SW,VID,INTEL,UMA,STEAMBOAT","1"
"","H4TX4","SRV,SW,TPAD,LAT,STEAMBOAT","1"
"","HXYDP","SRV,SW,CHIPSET,PCH,STEAMBOAT","1"
"","F4DXR","SRV,DRVR,HID,INTEL,E8","1"
"","P7J8W","SRV,DRVR,INTEL,DPTF,STEAMBOAT","1"
"","D6V5R","SRV,DRVR,COM,LD17","1"
"","F5Y65","SRV,OS,WIN7,QFE, KB2990941","1"
"","CVVJG","SRV,DIAG,INTEL,LOM,LAT,SB","1"
"","9JTWW","SRV,DRVR,AUDIOTRINITYTB16,WD15","1"
"","C1PGR","SRV,SW,AUD,LAT,SB14","1"
"","6HR26","SRV,SW,MEM-CARD,LAT,STEAMBOAT","1"
"","81HXT","SRV,SW,MS,RMTDT","1"
"","92YMG","SRV,DRVR,INTEL,LOM,LAT,SB","1"
"","57154","Service Charge,Software,      Windows 98,Fully Integrated   System Test","1"
"","1F54X","SRV,HTML,INTEL,LOM,LAT,SB","1"
"","CRT9V","SRV,SW,DCPM","1"
"","2XW6D","SRV,DRVR,USB3.0,TRINITY,TB16","1"
"","9WV3G","INFO,.NET@V,35000,SP1","1"
"","GFGV0","SRV,SW,DCU,APP","1"
"","GPWVP","LBL,ENVMT,ERPLOT3,PLBX,ALL","1"
"","334CH","SRV,SW,APP,SACLIENT","1"
"","K53RM","INFO,RYLTY,SACLIENT","1"
"","M3C3H","INFO,RYLTY,WAVES-MAXX,AUD,PRO","1"
"","C2N45","INFO,SW,CRRS,UPDATE","1"
"","TVCJ7","SRV,DRVR,LAN,TRINITY,TB16","1"
"","WXM2C","SRV,BIOS RECOVERY 2","1"
"","Y0XPY","SRV,DRVR,RTK,USB,LAN, LD17","1"
"658-BCUV : Environnement de récupération développé par Dell","2NMGP","INFO,WINRE-ADDR,10,GB-PTN","1"
"","YWKGK","SRV,SW,DDRE,BIZC","1"
"631-ABFZ : No Out-of-Band Systems Management - vPro Disabled","J5Y2H","SRV,SW,ME11,6MB,STEAMBOAT","1"
"","G451F","LBL,STNG,MGMT,MEBX,DISABLE,3","1"
"","MDK25","INFO,MGMT,INTEL,ME,DISABLE","1"
"","WMF7R","INFO,RYLTY,ME,DISABLE,STEAM","1"
"630-ABBT : ACTIVEZ MICROSOFT 365 POUR UNE VERSION D’ESSAI DE 30 JOURS","5NM85","SRV,SW,OFC2016,OPK","1"
"","HR8X9","INFO,WINRE-ADDR,3,GB-PTN","1"
"620-AAOH : Aucun média","864KE","Information,PLACEHOLDER       PIECE-PART","1"
"619-AIGV : Windows 10 Professionnel (64bits), anglais, néerlandais, français, allemand, italien","G174J","INFO,XTRA-LANG@V,ENG","1"
"","F314J","INFO,XTRA-LANG@V,ITL","1"
"","D6KX0","INFO,WINDOWS,10","1"
"","D588J","INFO,XTRA-LANG@V,DUT","1"
"","5566H","SRV,OS,WIN10,64,MUI,BNLX/SWI","1"
"","GMFF7","INFO,WIN,PRO","1"
"","0616F","INFO,BOOT,GPT,OVERRIDE","1"
"","X278C","SRV,OS,DOTNET,INSTALLER","1"
"","W728F","SRV,OS,IE,INSTALLER","1"
"","X0601","INFO,BYPS,UPTN","1"
"","T2673","Service Charge,Operating      System,Windows XP             OCA-MARKER","1"
"","TM318","INFO,SLP2,ENABLE,WINDOWS","1"
"","PY79K","INFO,.NET@V,50000","1"
"","PJ289","INFO,VPEPR","1"
"","J471G","SRV,OS,MUI,INSTALLER","1"
"","H141J","INFO,XTRA-LANG@V,GER","1"
"","HNX8N","INFO,IE@V,110000","1"
"","G424J","INFO,XTRA-LANG@V,FR","1"
"","KYWGW","INFO,.NET@V,46000","1"
"","2VRYX","LBL,GML,MS,OS,WIN,PRO","1"
"","X7V4Y","INFO,RYLTY,W10,DOLBY5.1,CODEC","1"
"","D6KX0","INFO,WINDOWS,10","1"
"","GYTDF","SRV,SW,WIN10,RDX","1"
"","0RR64","SRV,SW,JUMPSTART,W10","1"
"","XP9T9","INFO,BOOT,CNTNR,GPT","1"
"","22C12","DPK,WIN10,PRO","1"
"580-AEOB : Clavier intégré français/européen (AZERTY) rétroéclairé à double pointage","R9T05","INFO,KYBD,BLIT,XLOB","1"
"","W93F7","Keyboard,83,France/French,M14ISFBP","1"
"556-BBCD : Aucune carte haut débit mobile","864KE","Information,PLACEHOLDER       PIECE-PART","1"
"555-BDGD : Carte bibande Intel® Wireless AC 8265 (802.11ac) 2x2","TF2TN","LBL,REG,WRLES,8265AC,WW,BC","1"
"","8F3Y8","Card,Wireless,M.2,INTEL8265,World Wide","1"
"555-BDFW : Intel Dual Band Wireless AC 8265 WiFi + BT 4.2 Wireless Driver","X1VK7","SRV,APP,WRLES,BT,8265,E8","1"
"","PRM26","SRV,HTML,WRLES,INTEL,8265","1"
"","86M7D","SRV,DRVR,WRLES,M.2,8265,E8","1"
"525-10302 : McAfee Business Protection, version d’essai de 30 jours","9KKHT","INFO,SW,RYLTY,MCAFEE,30D,CRRS","1"
"492-BBXF : 65W AC Adapter, 7.4mm Barrel","G4X7T","Adapter,Alternating Current,65W,Liteon,7.4,Pwa Integrated,V2,E5","1"
"451-BBYE : Batterie (4 cellules) 60Wh compatible ExpressCharge","DM3WC","Dell 60Whr 4-Cell Lithium-Ion Replacement Battery for Select Laptops","1"
"","2RH60","Screw,M2X5,Phillips Head,Machine Screw,BZN,NY","2"
"450-AAEL : Rallonge d’alimentation E5 1M pour Europe","6GDYJ","CORD,PWR,250,2.5A,1M,C5,E5,EUR","1"
"430-XXYG : Clé USB de ressources média","N4265","INFO,NO-RESOURCE,CD","1"
"409-BCNO : Technologie Intel Rapid Storage","TYFMD","SRV,SW,INTEL,IRST,DRVR/APPS,SB","1"
"400-AOQN : M.2 256Go SATA Classe 20 lecteur Solid State","00159","INFO,1ST BOOT,HARD DRIVE","1"
"","2P56M","Solid State Drive,256,S3,80S3,HYNIX,SC308","1"
"391-BDBH : 14"" FHD (1920 x 1080) Anti-Glare, Camera & Mic, WLAN Capable","097D9","Bezel,Liquid Crystal Display,N-TCH,HDCMRA+MIC,7480","1"
"","HR70F","Assembly,Door,Bottom,W/SCR,Wireless Local Area Network Card,7480","1"
"","VJYP9","Screw,M2X3,K Screw Head,Microsoft,Black Oxide","2"
"","DC5HX","ASSY,CVR,NT,FHD,WLAN,EDP,7480","1"
"","75RJ0","Insert,Blank,USIM,7480","1"
"","8XGJH","Bumper,LVDS RBR,GOLIAD/ALPINE14","1"
"","522V0","INFO,SWSI,LCD,14.0,NON-TCH","1"
"","K49W1","Assembly,Camera,Hard Drive,0.92,6.5MM,E8","1"
"","KW8T4","Liquid Crystal Display,14.0FHD,AG,BENT,Au Optronics Corp","1"
"389-BLSV : Intel(R) Core(TM) i5 Processor Label","8F10P","LBL,INTEL,CI5,7,SML","1"
"389-BEYY : Étiquette réglementaire incluse","W21JJ","INFO,GNRC,OEM,TRACKING,PN","1"
"387-BBMF : Certifié ENERGY STAR","GD2W7","SRV,DRVR,E-STAR TCO,XLOB","1"
"379-BCPH : Processeur Intel Core i5-7200U de 7e génération (2,5GHz, double cœur, 3Mo de mémoire cache)","W21JJ","INFO,GNRC,OEM,TRACKING,PN","1"
"370-ADHZ : 4Go, 1x4Go, DDR4 2400MHz Non-ECC","4YRP4","Dual In-Line Memory Module,4GB,2400,1RX16,8G,DDR4,Ss","1"
"346-BCDH : Dual Pointing, 83 key with Smartcard only with Displayport over Type C","WCRND","INFO,MDIAGS,USH FW FLASH","1"
"","DY5TH","INFO,DUAL POINT KEYBOARD","1"
"","5R3C1","INFO,DP+AUTH HW,ROYALTY","1"
"","6FCT0","SRV,SW,DRVR/FW,USH,7280/7480","1"
"","0F6D3","ASSY,BASE,L10,7480","1"
"","47G5F","Assembly,Palmrest,Single Channel,83,Dell Plus,C,7480","1"
"","185D2","INFO,SC,CONTACT","1"
"340-BKCM : System Shipment, Latitude 7480, (TPM enabled)","GRGHF","SHP MTL,CSHN,MPP,SB14","2"
"","V793H","SHP MTL,BOX,MCF,LAT,14,SB","1"
"","2J81W","INFO,MIN-CONFIG,NB,BIZ,DAO","1"
"","7MNM1","SHP MTL,UPAD,LAT,MCF,14,SB","1"
"","7YF7W","SHP MTL,BAG,NBK,14,15,12.5X18","1"
"","TR2C9","INFO,RYLTY,SI,TPM-MIDDLEWARE","1"
"","1R5JY","SHP MTL,PAD,LCD,LAT,14,SB","1"
"","Y364G","INFO,DIRSHP,CMPL,KUNSHAN","1"
"","2J81W","INFO,MIN-CONFIG,NB,BIZ,DAO","1"
"","KF83R","LBL,COO,COMPAL,7480,V2","1"
"340-BJXZ : Guide d’utilisation (anglais, français, allemand, italien, néerlandais)","C2P4N","PLCMT,QSG,WN10,LAT,EMEA2","1"
"340-ACCX : Documentation d‘expédition : anglais, français, allemand, italien, néerlandais","T1X53","TSH,REG,EU,RED,WW","1"
"","YWKX2","GDE,PROD,MUI,SERI,EMEA 2","1"
"338-BKXP : Intel HD Graphics 620 with Displayport over USB Type-C with Core i5 Trans","VTFRD","Printed Wiring Assy,Planar,TI5-7200U,USBC,Twisted Pair,7480","1"
"","4RRK5","INFO,ATMEL,TPM,FIPS,MODE,X5","1"
"210-AKFH : Dell Latitude 7480 CTO","H82C5","INFO,HASH,ENABLE,VERIFY,RGD","1"
"","4P9FX","INFO,HASH,BIOS","1"
"","6JKX6","INFO,SWSI,NB,ULTSM,LAT,7480","1"
"","9872G","LBL,SVC TAG/EXPRESS CODE,ANW","1"
"","DF3MX","INFO,64-BIT,UEFI-MFG,PROCESS","1"
"","J8PH2","INFO,CHAIN,CUSTODY","1"
